Actual Sepsis	Estimated Sepsis	Counts
0.3157894736842105	0.3	38
0.45454545454545453	0.4	55
0.5333333333333333	0.5	90
0.6702127659574468	0.6	94
0.7862595419847328	0.7	131
0.78125	0.8	128
0.8481012658227848	0.9	79
0.8913043478260869	1.0	46
0.2	0.1	5
0.4	0.2	10
0.34375	0.3	32
0.32142857142857145	0.4	56
0.6777777777777778	0.5	90
0.5757575757575758	0.6	99
0.736	0.7	125
0.8050847457627118	0.8	118
0.8541666666666666	0.9	96
0.8775510204081632	1.0	49
0.0	0.0	1
0.5	0.1	4
0.21428571428571427	0.2	14
0.3125	0.3	32
0.391304347826087	0.4	46
0.6404494382022472	0.5	89
0.625	0.6	104
0.7111111111111111	0.7	135
0.8125	0.8	112
0.8117647058823529	0.9	85
0.9137931034482759	1.0	58
0.25	0.1	4
0.15384615384615385	0.2	13
0.3	0.3	30
0.42	0.4	50
0.5679012345679012	0.5	81
0.6822429906542056	0.6	107
0.6971830985915493	0.7	142
0.8333333333333334	0.8	126
0.788235294117647	0.9	85
0.9761904761904762	1.0	42
0.0	0.0	1
0.5	0.1	2
0.2777777777777778	0.2	18
0.28125	0.3	32
0.4716981132075472	0.4	53
0.6071428571428571	0.5	84
0.6	0.6	100
0.7542372881355932	0.7	118
0.8142857142857143	0.8	140
