	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
120	GO_Biological_Process_2023	Negative Regulation Of Inflammatory Response (GO:0050728)	3/111	0.0051879835121422	0.0264973042190408	0	0	9.180092592592592	48.30023271739973	APCS;PROC;APOA1
121	GO_Biological_Process_2023	Endoderm Formation (GO:0001706)	2/35	0.0054341716135514	0.0275271971899573	0	0	19.77545951316443	103.12997428192148	VTN;FN1
122	GO_Biological_Process_2023	Protein Maturation (GO:0051604)	3/117	0.0060034833227253	0.0301638430361321	0	0	8.694298245614036	44.47494735014511	F7;ADAMTS13;F12
123	GO_Biological_Process_2023	Regulation Of Ossification (GO:0030278)	2/37	0.0060580903990957	0.0301927408600096	0	0	18.643559718969556	95.20073961713096	ECM1;AHSG
124	GO_Biological_Process_2023	Vitamin Transport (GO:0051180)	2/39	0.0067131389248997	0.0331897588447044	0	0	17.634027470093045	88.23518291781329	AFM;APOA1
125	GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	6/537	0.0067882919205446	0.0332949556102905	0	0	3.846962037863019	19.206173123658463	IGFBP3;APOA1;PLG;CLU;KNG1;GPLD1
126	GO_Biological_Process_2023	Organonitrogen Compound Biosynthetic Process (GO:1901566)	3/123	0.0068916212718093	0.0335356058738439	0	0	8.257083333333334	41.099210467683655	APOA2;APOA1;LCAT
127	GO_Biological_Process_2023	Negative Regulation Of Cell-Cell Adhesion (GO:0022408)	2/40	0.0070522105857789	0.0340489542344638	0	0	17.16911130284728	85.0628880339553	APOA1;PLG
128	GO_Biological_Process_2023	Positive Regulation Of Programmed Cell Death (GO:0043068)	4/245	0.0074385804947305	0.0356359902770814	0	0	5.540755327378859	27.155658757326243	IGFBP3;CLU;KNG1;GPLD1
129	GO_Biological_Process_2023	Extracellular Matrix Disassembly (GO:0022617)	2/44	0.0084843136521957	0.040333121823515	0	0	15.530835284933646	74.07488224325675	GSN;PLG
130	GO_Biological_Process_2023	Cellular Component Disassembly (GO:0022411)	2/46	0.0092451625338706	0.0432841700449396	0	0	14.823397913561848	69.42767928771477	GSN;PLG
131	GO_Biological_Process_2023	Response To Glucose (GO:0009749)	2/46	0.0092451625338706	0.0432841700449396	0	0	14.823397913561848	69.42767928771477	APOA2;GPLD1
132	GO_Biological_Process_2023	Regulation Of Protein Phosphorylation (GO:0001932)	4/265	0.0097371374894673	0.0452447441239913	0	0	5.110981232547568	23.673084255375276	C3;IGFBP3;FN1;F2
